"ep0/time","fiery-meadow-18 - _step","fiery-meadow-18 - _step__MIN","fiery-meadow-18 - _step__MAX","fiery-meadow-18 - ep0/nusselt_obs","fiery-meadow-18 - ep0/nusselt_obs__MIN","fiery-meadow-18 - ep0/nusselt_obs__MAX"
"79.5","52","52","52","8.85531075684589","8.85531075684589","8.85531075684589"
"81","53","53","53","6.0311446249912795","6.0311446249912795","6.0311446249912795"
"82.5","54","54","54","23.27532644465728","23.27532644465728","23.27532644465728"
"84","55","55","55","28.639936991662243","28.639936991662243","28.639936991662243"
"85.5","56","56","56","18.87968099290339","18.87968099290339","18.87968099290339"
"87","57","57","57","20.74178955624115","20.74178955624115","20.74178955624115"
"88.5","58","58","58","17.499330820790863","17.499330820790863","17.499330820790863"
"90","59","59","59","20.726920384050494","20.726920384050494","20.726920384050494"
"91.5","60","60","60","25.929850027208275","25.929850027208275","25.929850027208275"
"93","61","61","61","18.156604335126683","18.156604335126683","18.156604335126683"
"94.5","62","62","62","0.4703702609905322","0.4703702609905322","0.4703702609905322"
"96","63","63","63","11.137048302390793","11.137048302390793","11.137048302390793"
"97.5","64","64","64","22.519070311133376","22.519070311133376","22.519070311133376"
"99","65","65","65","30.4939610742214","30.4939610742214","30.4939610742214"
"100.5","66","66","66","18.415100380987692","18.415100380987692","18.415100380987692"
"102","67","67","67","-2.182499672814993","-2.182499672814993","-2.182499672814993"
"103.5","68","68","68","3.827191893834302","3.827191893834302","3.827191893834302"
"105","69","69","69","25.87979594018072","25.87979594018072","25.87979594018072"
"106.5","70","70","70","34.40943541104085","34.40943541104085","34.40943541104085"
"108","71","71","71","28.091666322583","28.091666322583","28.091666322583"
"109.5","72","72","72","14.848697894614578","14.848697894614578","14.848697894614578"
"111","73","73","73","16.81262561479292","16.81262561479292","16.81262561479292"
"112.5","74","74","74","14.692026232629138","14.692026232629138","14.692026232629138"
"114","75","75","75","18.60171946875389","18.60171946875389","18.60171946875389"
"115.5","76","76","76","24.984836948608827","24.984836948608827","24.984836948608827"
"117","77","77","77","29.799936276897828","29.799936276897828","29.799936276897828"
"118.5","78","78","78","18.468968461210153","18.468968461210153","18.468968461210153"
"120","79","79","79","13.271787685364663","13.271787685364663","13.271787685364663"
"121.5","80","80","80","13.534068975728154","13.534068975728154","13.534068975728154"
"123","81","81","81","27.84762302845875","27.84762302845875","27.84762302845875"
"124.5","82","82","82","33.14528048432587","33.14528048432587","33.14528048432587"
"126","83","83","83","23.731887042559197","23.731887042559197","23.731887042559197"
"127.5","84","84","84","13.94758058465648","13.94758058465648","13.94758058465648"
"129","85","85","85","10.936564504323785","10.936564504323785","10.936564504323785"
"130.5","86","86","86","23.53724619843423","23.53724619843423","23.53724619843423"
"132","87","87","87","29.07232255275313","29.07232255275313","29.07232255275313"
"133.5","88","88","88","23.84693059791479","23.84693059791479","23.84693059791479"
"135","89","89","89","16.654582727296113","16.654582727296113","16.654582727296113"
"136.5","90","90","90","15.30289413035775","15.30289413035775","15.30289413035775"
"138","91","91","91","23.01401302693873","23.01401302693873","23.01401302693873"
"139.5","92","92","92","29.850871990493047","29.850871990493047","29.850871990493047"
"141","93","93","93","26.14273845046996","26.14273845046996","26.14273845046996"
"142.5","94","94","94","14.792247659108947","14.792247659108947","14.792247659108947"
"144","95","95","95","14.211388169235931","14.211388169235931","14.211388169235931"
"145.5","96","96","96","25.32688540637875","25.32688540637875","25.32688540637875"
"147","97","97","97","28.026812757164603","28.026812757164603","28.026812757164603"
"148.5","98","98","98","18.962207163610017","18.962207163610017","18.962207163610017"
"150","99","99","99","15.084721174725047","15.084721174725047","15.084721174725047"
"151.5","100","100","100","15.703931420291585","15.703931420291585","15.703931420291585"
"153","101","101","101","29.311438495230416","29.311438495230416","29.311438495230416"
"154.5","102","102","102","28.716697742779132","28.716697742779132","28.716697742779132"
"156","103","103","103","21.488180532401163","21.488180532401163","21.488180532401163"
"157.5","104","104","104","11.42468593947219","11.42468593947219","11.42468593947219"
"159","105","105","105","20.753257671000807","20.753257671000807","20.753257671000807"
"160.5","106","106","106","29.674281840520315","29.674281840520315","29.674281840520315"
"162","107","107","107","25.778405400209007","25.778405400209007","25.778405400209007"
"163.5","108","108","108","18.021353062514567","18.021353062514567","18.021353062514567"
"165","109","109","109","18.812520562711097","18.812520562711097","18.812520562711097"
"166.5","110","110","110","18.121515249264533","18.121515249264533","18.121515249264533"
"168","111","111","111","24.55803734557316","24.55803734557316","24.55803734557316"
"169.5","112","112","112","22.759855420116246","22.759855420116246","22.759855420116246"
"171","113","113","113","24.954373788709436","24.954373788709436","24.954373788709436"
"172.5","114","114","114","21.486711735570047","21.486711735570047","21.486711735570047"
"174","115","115","115","20.200573642048237","20.200573642048237","20.200573642048237"
"175.5","116","116","116","22.55221145529068","22.55221145529068","22.55221145529068"
"177","117","117","117","22.241328322453295","22.241328322453295","22.241328322453295"
"178.5","118","118","118","21.884299182413013","21.884299182413013","21.884299182413013"
"180","119","119","119","20.54276845679777","20.54276845679777","20.54276845679777"
"181.5","120","120","120","20.10071462332747","20.10071462332747","20.10071462332747"
"183","121","121","121","22.587237816733","22.587237816733","22.587237816733"
"184.5","122","122","122","24.716838153142966","24.716838153142966","24.716838153142966"
"186","123","123","123","23.976149872152867","23.976149872152867","23.976149872152867"
"187.5","124","124","124","17.05104984630704","17.05104984630704","17.05104984630704"
"189","125","125","125","24.48899169809586","24.48899169809586","24.48899169809586"
"190.5","126","126","126","25.35863093219475","25.35863093219475","25.35863093219475"
"192","127","127","127","18.850491487195622","18.850491487195622","18.850491487195622"
"193.5","128","128","128","17.942741941012574","17.942741941012574","17.942741941012574"
"195","129","129","129","17.973058743932356","17.973058743932356","17.973058743932356"
"196.5","130","130","130","26.821287739544484","26.821287739544484","26.821287739544484"
"198","131","131","131","24.605995391571263","24.605995391571263","24.605995391571263"
"199.5","132","132","132","18.283246681116584","18.283246681116584","18.283246681116584"
"201","133","133","133","19.068660958138334","19.068660958138334","19.068660958138334"
"202.5","134","134","134","25.730741810515127","25.730741810515127","25.730741810515127"
"204","135","135","135","23.32453549436207","23.32453549436207","23.32453549436207"
"205.5","136","136","136","19.86275559792712","19.86275559792712","19.86275559792712"
"207","137","137","137","20.449666251969123","20.449666251969123","20.449666251969123"
"208.5","138","138","138","17.69325556112273","17.69325556112273","17.69325556112273"
"210","139","139","139","22.301151737869997","22.301151737869997","22.301151737869997"
"211.5","140","140","140","22.29260205097762","22.29260205097762","22.29260205097762"
"213","141","141","141","26.361176242541962","26.361176242541962","26.361176242541962"
"214.5","142","142","142","19.72755485331987","19.72755485331987","19.72755485331987"
"216","143","143","143","18.35677886695701","18.35677886695701","18.35677886695701"
"217.5","144","144","144","17.68278406770044","17.68278406770044","17.68278406770044"
"219","145","145","145","19.687099344871918","19.687099344871918","19.687099344871918"
"220.5","146","146","146","27.141450601827316","27.141450601827316","27.141450601827316"
"222","147","147","147","23.916528568755627","23.916528568755627","23.916528568755627"
"223.5","148","148","148","18.938554830297605","18.938554830297605","18.938554830297605"
"225","149","149","149","20.62932815616873","20.62932815616873","20.62932815616873"
"226.5","150","150","150","23.963376740991666","23.963376740991666","23.963376740991666"
"228","151","151","151","23.64799138868619","23.64799138868619","23.64799138868619"
"229.5","152","152","152","19.766633909221465","19.766633909221465","19.766633909221465"
"231","153","153","153","18.51983796569555","18.51983796569555","18.51983796569555"
"232.5","154","154","154","22.355512901726154","22.355512901726154","22.355512901726154"
"234","155","155","155","23.54574884201173","23.54574884201173","23.54574884201173"
"235.5","156","156","156","16.242465865536595","16.242465865536595","16.242465865536595"
"237","157","157","157","22.350801600858624","22.350801600858624","22.350801600858624"
"238.5","158","158","158","22.38842057165408","22.38842057165408","22.38842057165408"
"240","159","159","159","20.270516597198164","20.270516597198164","20.270516597198164"
"241.5","160","160","160","19.765294045920008","19.765294045920008","19.765294045920008"
"243","161","161","161","18.465272947474933","18.465272947474933","18.465272947474933"
"244.5","162","162","162","20.89269405629185","20.89269405629185","20.89269405629185"
"246","163","163","163","23.926585384069018","23.926585384069018","23.926585384069018"
"247.5","164","164","164","17.19709668851059","17.19709668851059","17.19709668851059"
"249","165","165","165","15.99277911597228","15.99277911597228","15.99277911597228"
"250.5","166","166","166","24.338378169659393","24.338378169659393","24.338378169659393"
"252","167","167","167","25.814825637647637","25.814825637647637","25.814825637647637"
"253.5","168","168","168","14.026061030283817","14.026061030283817","14.026061030283817"
"255","169","169","169","14.932975122041574","14.932975122041574","14.932975122041574"
"256.5","170","170","170","26.432065291024387","26.432065291024387","26.432065291024387"
"258","171","171","171","22.670528876892607","22.670528876892607","22.670528876892607"
"259.5","172","172","172","15.582528305702823","15.582528305702823","15.582528305702823"
"261","173","173","173","14.925179870532201","14.925179870532201","14.925179870532201"
"262.5","174","174","174","22.392292062233835","22.392292062233835","22.392292062233835"
"264","175","175","175","22.038376492700316","22.038376492700316","22.038376492700316"
"265.5","176","176","176","19.24498975636176","19.24498975636176","19.24498975636176"
"267","177","177","177","14.192863557244948","14.192863557244948","14.192863557244948"
"268.5","178","178","178","24.5919224710435","24.5919224710435","24.5919224710435"
"270","179","179","179","19.361070006989607","19.361070006989607","19.361070006989607"
"271.5","180","180","180","11.0259746801072","11.0259746801072","11.0259746801072"
"273","181","181","181","17.9748551016226","17.9748551016226","17.9748551016226"
"274.5","182","182","182","34.01468972888537","34.01468972888537","34.01468972888537"
"276","183","183","183","18.38026045045988","18.38026045045988","18.38026045045988"
"277.5","184","184","184","5.9725338816913665","5.9725338816913665","5.9725338816913665"
"279","185","185","185","15.184580193445814","15.184580193445814","15.184580193445814"
"280.5","186","186","186","35.14509876906425","35.14509876906425","35.14509876906425"
