"ep0/time","classic-sun-649-134990 - _step","classic-sun-649-134990 - _step__MIN","classic-sun-649-134990 - _step__MAX","classic-sun-649-134990 - ep0/nusselt_obs","classic-sun-649-134990 - ep0/nusselt_obs__MIN","classic-sun-649-134990 - ep0/nusselt_obs__MAX"
"1.5","0","0","0","14.824812220100938","14.824812220100938","14.824812220100938"
"3","1","1","1","8.787743073504998","8.787743073504998","8.787743073504998"
"4.5","2","2","2","7.298077935763749","7.298077935763749","7.298077935763749"
"6","3","3","3","14.938737547796373","14.938737547796373","14.938737547796373"
"7.5","4","4","4","13.876810557159047","13.876810557159047","13.876810557159047"
"9","5","5","5","4.180546734658975","4.180546734658975","4.180546734658975"
"10.5","6","6","6","9.081059027180913","9.081059027180913","9.081059027180913"
"12","7","7","7","19.315841082186882","19.315841082186882","19.315841082186882"
"13.5","8","8","8","14.334900896275176","14.334900896275176","14.334900896275176"
"15","9","9","9","1.7901491504207898","1.7901491504207898","1.7901491504207898"
"16.5","10","10","10","8.716113521092968","8.716113521092968","8.716113521092968"
"18","11","11","11","18.845035751433265","18.845035751433265","18.845035751433265"
"19.5","12","12","12","15.409742353844708","15.409742353844708","15.409742353844708"
"21","13","13","13","5.36425339272123","5.36425339272123","5.36425339272123"
"22.5","14","14","14","8.066230023707236","8.066230023707236","8.066230023707236"
"24","15","15","15","14.048784754017966","14.048784754017966","14.048784754017966"
"25.5","16","16","16","12.234292799638425","12.234292799638425","12.234292799638425"
"27","17","17","17","8.539264646719396","8.539264646719396","8.539264646719396"
"28.5","18","18","18","12.95176647471816","12.95176647471816","12.95176647471816"
"30","19","19","19","12.155192274078933","12.155192274078933","12.155192274078933"
"31.5","20","20","20","6.0634524815236","6.0634524815236","6.0634524815236"
"33","21","21","21","8.440063868415653","8.440063868415653","8.440063868415653"
"34.5","22","22","22","17.256810338092404","17.256810338092404","17.256810338092404"
"36","23","23","23","16.482779183357344","16.482779183357344","16.482779183357344"
"37.5","24","24","24","4.863190932400547","4.863190932400547","4.863190932400547"
"39","25","25","25","3.4179955389749725","3.4179955389749725","3.4179955389749725"
"40.5","26","26","26","16.45331294216582","16.45331294216582","16.45331294216582"
"42","27","27","27","19.176574600058647","19.176574600058647","19.176574600058647"
"43.5","28","28","28","6.659009739513474","6.659009739513474","6.659009739513474"
"45","29","29","29","4.886544736289689","4.886544736289689","4.886544736289689"
"46.5","30","30","30","12.798089460947336","12.798089460947336","12.798089460947336"
"48","31","31","31","15.459548841494442","15.459548841494442","15.459548841494442"
"49.5","32","32","32","8.78477042409349","8.78477042409349","8.78477042409349"
"51","33","33","33","10.11821991325849","10.11821991325849","10.11821991325849"
"52.5","34","34","34","13.524510693875664","13.524510693875664","13.524510693875664"
"54","35","35","35","8.520505397811895","8.520505397811895","8.520505397811895"
"55.5","36","36","36","6.029558044629424","6.029558044629424","6.029558044629424"
"57","37","37","37","14.66847189946549","14.66847189946549","14.66847189946549"
"58.5","38","38","38","18.14462344765482","18.14462344765482","18.14462344765482"
"60","39","39","39","7.19862781334161","7.19862781334161","7.19862781334161"
"61.5","40","40","40","2.2977362450395806","2.2977362450395806","2.2977362450395806"
"63","41","41","41","12.824905641680528","12.824905641680528","12.824905641680528"
"64.5","42","42","42","19.876910542200832","19.876910542200832","19.876910542200832"
"66","43","43","43","9.583647941026404","9.583647941026404","9.583647941026404"
"67.5","44","44","44","3.7808909688894747","3.7808909688894747","3.7808909688894747"
"69","45","45","45","12.077512230793932","12.077512230793932","12.077512230793932"
"70.5","46","46","46","20.21023687647497","20.21023687647497","20.21023687647497"
"72","47","47","47","13.276718742616021","13.276718742616021","13.276718742616021"
"73.5","48","48","48","4.380670713684321","4.380670713684321","4.380670713684321"
"75","49","49","49","8.449449336872178","8.449449336872178","8.449449336872178"
"76.5","50","50","50","16.492405424728197","16.492405424728197","16.492405424728197"
"78","51","51","51","12.264813298930546","12.264813298930546","12.264813298930546"
"79.5","52","52","52","7.487657385782212","7.487657385782212","7.487657385782212"
"81","53","53","53","11.001561971097905","11.001561971097905","11.001561971097905"
"82.5","54","54","54","11.516014210576488","11.516014210576488","11.516014210576488"
"84","55","55","55","7.258356638502791","7.258356638502791","7.258356638502791"
"85.5","56","56","56","9.63710030720732","9.63710030720732","9.63710030720732"
"87","57","57","57","17.340543209851482","17.340543209851482","17.340543209851482"
"88.5","58","58","58","14.01179455405382","14.01179455405382","14.01179455405382"
"90","59","59","59","3.417769570867675","3.417769570867675","3.417769570867675"
"91.5","60","60","60","6.189587489416588","6.189587489416588","6.189587489416588"
"93","61","61","61","19.18365285621963","19.18365285621963","19.18365285621963"
"94.5","62","62","62","17.636308969490642","17.636308969490642","17.636308969490642"
"96","63","63","63","4.253249635580667","4.253249635580667","4.253249635580667"
"97.5","64","64","64","4.5802102924321755","4.5802102924321755","4.5802102924321755"
"99","65","65","65","16.106227487758407","16.106227487758407","16.106227487758407"
"100.5","66","66","66","17.212604742702155","17.212604742702155","17.212604742702155"
"102","67","67","67","7.3609157704011885","7.3609157704011885","7.3609157704011885"
"103.5","68","68","68","7.387809871171378","7.387809871171378","7.387809871171378"
"105","69","69","69","14.084607711827866","14.084607711827866","14.084607711827866"
"106.5","70","70","70","12.566531370196056","12.566531370196056","12.566531370196056"
"108","71","71","71","7.097563966953223","7.097563966953223","7.097563966953223"
"109.5","72","72","72","10.993357770402286","10.993357770402286","10.993357770402286"
"111","73","73","73","16.477436985620695","16.477436985620695","16.477436985620695"
"112.5","74","74","74","8.69273906839402","8.69273906839402","8.69273906839402"
"114","75","75","75","3.666258127258089","3.666258127258089","3.666258127258089"
"115.5","76","76","76","12.265784961791923","12.265784961791923","12.265784961791923"
"117","77","77","77","20.691589463436767","20.691589463436767","20.691589463436767"
"118.5","78","78","78","12.9264502546972","12.9264502546972","12.9264502546972"
"120","79","79","79","3.043447557127461","3.043447557127461","3.043447557127461"
"121.5","80","80","80","8.595795633562139","8.595795633562139","8.595795633562139"
"123","81","81","81","17.3542181763448","17.3542181763448","17.3542181763448"
"124.5","82","82","82","13.38730285912494","13.38730285912494","13.38730285912494"
"126","83","83","83","6.422831769768525","6.422831769768525","6.422831769768525"
"127.5","84","84","84","11.501591990928352","11.501591990928352","11.501591990928352"
"129","85","85","85","12.917649965718537","12.917649965718537","12.917649965718537"
"130.5","86","86","86","6.919797973744173","6.919797973744173","6.919797973744173"
"132","87","87","87","8.419447785026469","8.419447785026469","8.419447785026469"
"133.5","88","88","88","17.0389100714263","17.0389100714263","17.0389100714263"
"135","89","89","89","15.21389969125227","15.21389969125227","15.21389969125227"
"136.5","90","90","90","2.8592821860797786","2.8592821860797786","2.8592821860797786"
"138","91","91","91","6.268146081118751","6.268146081118751","6.268146081118751"
"139.5","92","92","92","19.275526813444362","19.275526813444362","19.275526813444362"
"141","93","93","93","19.044602991794253","19.044602991794253","19.044602991794253"
