"ep4/time","daily-salad-26 - _step","daily-salad-26 - _step__MIN","daily-salad-26 - _step__MAX","daily-salad-26 - ep4/nusselt_obs","daily-salad-26 - ep4/nusselt_obs__MIN","daily-salad-26 - ep4/nusselt_obs__MAX"
"46.5","830","830","830","3.0644840970362917","3.0644840970362917","3.0644840970362917"
"48","831","831","831","3.250968874865303","3.250968874865303","3.250968874865303"
"49.5","832","832","832","3.225207887273152","3.225207887273152","3.225207887273152"
"51","833","833","833","2.841241009273244","2.841241009273244","2.841241009273244"
"52.5","834","834","834","2.9072224498833688","2.9072224498833688","2.9072224498833688"
"54","835","835","835","3.242024277978119","3.242024277978119","3.242024277978119"
"55.5","836","836","836","3.5131847600138975","3.5131847600138975","3.5131847600138975"
"57","837","837","837","3.4656579009666055","3.4656579009666055","3.4656579009666055"
"58.5","838","838","838","3.502803317644452","3.502803317644452","3.502803317644452"
"60","839","839","839","3.3572218840376733","3.3572218840376733","3.3572218840376733"
"61.5","840","840","840","2.8881043012854524","2.8881043012854524","2.8881043012854524"
"63","841","841","841","2.4631005241198958","2.4631005241198958","2.4631005241198958"
"64.5","842","842","842","2.7088754373017836","2.7088754373017836","2.7088754373017836"
"66","843","843","843","3.3018194910108227","3.3018194910108227","3.3018194910108227"
"67.5","844","844","844","3.6052052069081855","3.6052052069081855","3.6052052069081855"
"69","845","845","845","3.402393064526412","3.402393064526412","3.402393064526412"
"70.5","846","846","846","3.2304836971382778","3.2304836971382778","3.2304836971382778"
"72","847","847","847","3.4287549714438996","3.4287549714438996","3.4287549714438996"
"73.5","848","848","848","3.4803745025145245","3.4803745025145245","3.4803745025145245"
"75","849","849","849","2.8298229187315647","2.8298229187315647","2.8298229187315647"
"76.5","850","850","850","2.4465836580371527","2.4465836580371527","2.4465836580371527"
"78","851","851","851","2.9225608533265395","2.9225608533265395","2.9225608533265395"
"79.5","852","852","852","3.5339626053998914","3.5339626053998914","3.5339626053998914"
"81","853","853","853","3.6197002038708797","3.6197002038708797","3.6197002038708797"
"82.5","854","854","854","3.2422153379088403","3.2422153379088403","3.2422153379088403"
"84","855","855","855","3.3005618616136596","3.3005618616136596","3.3005618616136596"
"85.5","856","856","856","3.2787420694929157","3.2787420694929157","3.2787420694929157"
"87","857","857","857","2.8429580552085527","2.8429580552085527","2.8429580552085527"
"88.5","858","858","858","2.450060450088046","2.450060450088046","2.450060450088046"
"90","859","859","859","2.7765667552038136","2.7765667552038136","2.7765667552038136"
"91.5","860","860","860","3.378824435095264","3.378824435095264","3.378824435095264"
"93","861","861","861","3.6252951742075528","3.6252951742075528","3.6252951742075528"
"94.5","862","862","862","3.1994684056112126","3.1994684056112126","3.1994684056112126"
"96","863","863","863","3.0113840852626863","3.0113840852626863","3.0113840852626863"
"97.5","864","864","864","3.276715525170647","3.276715525170647","3.276715525170647"
"99","865","865","865","3.0938493538598664","3.0938493538598664","3.0938493538598664"
"100.5","866","866","866","2.655578755354793","2.655578755354793","2.655578755354793"
"102","867","867","867","2.588952448518465","2.588952448518465","2.588952448518465"
"103.5","868","868","868","3.0982618097150434","3.0982618097150434","3.0982618097150434"
"105","869","869","869","3.583514138688564","3.583514138688564","3.583514138688564"
"106.5","870","870","870","3.3060327832514305","3.3060327832514305","3.3060327832514305"
"108","871","871","871","2.9087571629321003","2.9087571629321003","2.9087571629321003"
"109.5","872","872","872","3.1047519254367604","3.1047519254367604","3.1047519254367604"
"111","873","873","873","3.275427039438832","3.275427039438832","3.275427039438832"
"112.5","874","874","874","2.978912624084185","2.978912624084185","2.978912624084185"
"114","875","875","875","2.68598253043149","2.68598253043149","2.68598253043149"
"115.5","876","876","876","2.901826019800969","2.901826019800969","2.901826019800969"
"117","877","877","877","3.376119363090808","3.376119363090808","3.376119363090808"
"118.5","878","878","878","3.325850653781597","3.325850653781597","3.325850653781597"
"120","879","879","879","2.8798884125842825","2.8798884125842825","2.8798884125842825"
"121.5","880","880","880","2.8869906681166633","2.8869906681166633","2.8869906681166633"
"123","881","881","881","3.255953887152349","3.255953887152349","3.255953887152349"
"124.5","882","882","882","3.248755945814533","3.248755945814533","3.248755945814533"
"126","883","883","883","2.922596696543559","2.922596696543559","2.922596696543559"
"127.5","884","884","884","2.8968565915213236","2.8968565915213236","2.8968565915213236"
"129","885","885","885","3.2588724600581815","3.2588724600581815","3.2588724600581815"
"130.5","886","886","886","3.3063927738223655","3.3063927738223655","3.3063927738223655"
"132","887","887","887","2.858121606088698","2.858121606088698","2.858121606088698"
"133.5","888","888","888","2.653355229178991","2.653355229178991","2.653355229178991"
"135","889","889","889","3.045113799198647","3.045113799198647","3.045113799198647"
"136.5","890","890","890","3.465488035285948","3.465488035285948","3.465488035285948"
"138","891","891","891","3.3773673304033833","3.3773673304033833","3.3773673304033833"
"139.5","892","892","892","3.1637723016215467","3.1637723016215467","3.1637723016215467"
"141","893","893","893","3.0966962403316605","3.0966962403316605","3.0966962403316605"
"142.5","894","894","894","3.3178105526838966","3.3178105526838966","3.3178105526838966"
"144","895","895","895","3.3484568149157345","3.3484568149157345","3.3484568149157345"
"145.5","896","896","896","3.1045465282192315","3.1045465282192315","3.1045465282192315"
"147","897","897","897","3.1580308416153153","3.1580308416153153","3.1580308416153153"
"148.5","898","898","898","3.298715156736784","3.298715156736784","3.298715156736784"
"150","899","899","899","3.3722299065239683","3.3722299065239683","3.3722299065239683"
"151.5","900","900","900","3.1736429002284265","3.1736429002284265","3.1736429002284265"
"153","901","901","901","3.3636250409980994","3.3636250409980994","3.3636250409980994"
"154.5","902","902","902","3.5269186340551855","3.5269186340551855","3.5269186340551855"
"156","903","903","903","3.2623913289290543","3.2623913289290543","3.2623913289290543"
"157.5","904","904","904","2.743361910637078","2.743361910637078","2.743361910637078"
"159","905","905","905","2.9100066886454155","2.9100066886454155","2.9100066886454155"
"160.5","906","906","906","3.500877134329838","3.500877134329838","3.500877134329838"
"162","907","907","907","3.6276362037991494","3.6276362037991494","3.6276362037991494"
"163.5","908","908","908","3.1245461082756796","3.1245461082756796","3.1245461082756796"
"165","909","909","909","2.919834275391872","2.919834275391872","2.919834275391872"
"166.5","910","910","910","3.085902756806565","3.085902756806565","3.085902756806565"
"168","911","911","911","3.391574023229181","3.391574023229181","3.391574023229181"
