"ep0/time","sleek-dew-647-134988 - _step","sleek-dew-647-134988 - _step__MIN","sleek-dew-647-134988 - _step__MAX","sleek-dew-647-134988 - ep0/nusselt_obs","sleek-dew-647-134988 - ep0/nusselt_obs__MIN","sleek-dew-647-134988 - ep0/nusselt_obs__MAX"
"93","61","61","61","2.5419866137375657","2.5419866137375657","2.5419866137375657"
"94.5","62","62","62","2.5467853971361833","2.5467853971361833","2.5467853971361833"
"96","63","63","63","2.5506614514566595","2.5506614514566595","2.5506614514566595"
"97.5","64","64","64","2.551790668632848","2.551790668632848","2.551790668632848"
"99","65","65","65","2.550083284782127","2.550083284782127","2.550083284782127"
"100.5","66","66","66","2.546725554547768","2.546725554547768","2.546725554547768"
"102","67","67","67","2.5433419548611256","2.5433419548611256","2.5433419548611256"
"103.5","68","68","68","2.541197595442914","2.541197595442914","2.541197595442914"
"105","69","69","69","2.5407310102613643","2.5407310102613643","2.5407310102613643"
"106.5","70","70","70","2.5415608586554033","2.5415608586554033","2.5415608586554033"
"108","71","71","71","2.542837968061816","2.542837968061816","2.542837968061816"
"109.5","72","72","72","2.543672024137853","2.543672024137853","2.543672024137853"
"111","73","73","73","2.543465380199732","2.543465380199732","2.543465380199732"
"112.5","74","74","74","2.542087130585294","2.542087130585294","2.542087130585294"
"114","75","75","75","2.539862825209122","2.539862825209122","2.539862825209122"
"115.5","76","76","76","2.537500289687314","2.537500289687314","2.537500289687314"
"117","77","77","77","2.53567586994102","2.53567586994102","2.53567586994102"
"118.5","78","78","78","2.534779166155236","2.534779166155236","2.534779166155236"
"120","79","79","79","2.534782906317012","2.534782906317012","2.534782906317012"
"121.5","80","80","80","2.535387098283902","2.535387098283902","2.535387098283902"
"123","81","81","81","2.5361494679259","2.5361494679259","2.5361494679259"
"124.5","82","82","82","2.5366076377434537","2.5366076377434537","2.5366076377434537"
"126","83","83","83","2.5364815631235893","2.5364815631235893","2.5364815631235893"
"127.5","84","84","84","2.5358783061971435","2.5358783061971435","2.5358783061971435"
"129","85","85","85","2.535164402818159","2.535164402818159","2.535164402818159"
"130.5","86","86","86","2.5346409360096","2.5346409360096","2.5346409360096"
"132","87","87","87","2.5343889426099455","2.5343889426099455","2.5343889426099455"
"133.5","88","88","88","2.534274555995631","2.534274555995631","2.534274555995631"
"135","89","89","89","2.5340468736475197","2.5340468736475197","2.5340468736475197"
"136.5","90","90","90","2.5334688628130615","2.5334688628130615","2.5334688628130615"
"138","91","91","91","2.532397929824548","2.532397929824548","2.532397929824548"
"139.5","92","92","92","2.530997395079529","2.530997395079529","2.530997395079529"
"141","93","93","93","2.5295886008105875","2.5295886008105875","2.5295886008105875"
"142.5","94","94","94","2.5284559551527708","2.5284559551527708","2.5284559551527708"
"144","95","95","95","2.527747973696598","2.527747973696598","2.527747973696598"
"145.5","96","96","96","2.5274412804309705","2.5274412804309705","2.5274412804309705"
"147","97","97","97","2.5272813885150485","2.5272813885150485","2.5272813885150485"
"148.5","98","98","98","2.5270452908029415","2.5270452908029415","2.5270452908029415"
"150","99","99","99","2.5266337171675133","2.5266337171675133","2.5266337171675133"
"151.5","100","100","100","2.526044953367949","2.526044953367949","2.526044953367949"
"153","101","101","101","2.5252554675530754","2.5252554675530754","2.5252554675530754"
"154.5","102","102","102","2.5242848955722166","2.5242848955722166","2.5242848955722166"
"156","103","103","103","2.523278792054486","2.523278792054486","2.523278792054486"
"157.5","104","104","104","2.5224226066879414","2.5224226066879414","2.5224226066879414"
"159","105","105","105","2.5218234016034193","2.5218234016034193","2.5218234016034193"
"160.5","106","106","106","2.521482423521512","2.521482423521512","2.521482423521512"
"162","107","107","107","2.5213494919383916","2.5213494919383916","2.5213494919383916"
"163.5","108","108","108","2.5213482452178","2.5213482452178","2.5213482452178"
"165","109","109","109","2.5213864260359293","2.5213864260359293","2.5213864260359293"
"166.5","110","110","110","2.5213697511480118","2.5213697511480118","2.5213697511480118"
"168","111","111","111","2.5212809223058326","2.5212809223058326","2.5212809223058326"
"169.5","112","112","112","2.521167626572036","2.521167626572036","2.521167626572036"
"171","113","113","113","2.521115887667469","2.521115887667469","2.521115887667469"
"172.5","114","114","114","2.521478683359736","2.521478683359736","2.521478683359736"
"174","115","115","115","2.5224880595190204","2.5224880595190204","2.5224880595190204"
"175.5","116","116","116","2.523966670141113","2.523966670141113","2.523966670141113"
"177","117","117","117","2.525445904123501","2.525445904123501","2.525445904123501"
"178.5","118","118","118","2.5266770407080847","2.5266770407080847","2.5266770407080847"
"180","119","119","119","2.527685637666999","2.527685637666999","2.527685637666999"
"181.5","120","120","120","2.5284677989983946","2.5284677989983946","2.5284677989983946"
"183","121","121","121","2.5290138626176835","2.5290138626176835","2.5290138626176835"
"184.5","122","122","122","2.529387099594908","2.529387099594908","2.529387099594908"
"186","123","123","123","2.529640963075451","2.529640963075451","2.529640963075451"
"187.5","124","124","124","2.529788699465601","2.529788699465601","2.529788699465601"
"189","125","125","125","2.5298381007690582","2.5298381007690582","2.5298381007690582"
"190.5","126","126","126","2.5298080236347764","2.5298080236347764","2.5298080236347764"
"192","127","127","127","2.5297227791142998","2.5297227791142998","2.5297227791142998"
"193.5","128","128","128","2.5295998212959154","2.5295998212959154","2.5295998212959154"
"195","129","129","129","2.529461435310205","2.529461435310205","2.529461435310205"
"196.5","130","130","130","2.528829503810144","2.528829503810144","2.528829503810144"
"198","131","131","131","2.5272721939506826","2.5272721939506826","2.5272721939506826"
"199.5","132","132","132","2.525000669032089","2.525000669032089","2.525000669032089"
"201","133","133","133","2.5224169964452776","2.5224169964452776","2.5224169964452776"
"202.5","134","134","134","2.5197307810897756","2.5197307810897756","2.5197307810897756"
"204","135","135","135","2.517211937973747","2.517211937973747","2.517211937973747"
"205.5","136","136","136","2.515142070110907","2.515142070110907","2.515142070110907"
"207","137","137","137","2.5134666334753555","2.5134666334753555","2.5134666334753555"
"208.5","138","138","138","2.512002827660293","2.512002827660293","2.512002827660293"
"210","139","139","139","2.5107057707244085","2.5107057707244085","2.5107057707244085"
"211.5","140","140","140","2.509693589443792","2.509693589443792","2.509693589443792"
"213","141","141","141","2.5091143318887417","2.5091143318887417","2.5091143318887417"
"214.5","142","142","142","2.509089397476902","2.509089397476902","2.509089397476902"
"216","143","143","143","2.5097231990578517","2.5097231990578517","2.5097231990578517"
"217.5","144","144","144","2.511034281600396","2.511034281600396","2.511034281600396"
"219","145","145","145","2.5129416082660563","2.5129416082660563","2.5129416082660563"
"220.5","146","146","146","2.515279521056173","2.515279521056173","2.515279521056173"
"222","147","147","147","2.517830778907593","2.517830778907593","2.517830778907593"
"223.5","148","148","148","2.520352738825101","2.520352738825101","2.520352738825101"
"225","149","149","149","2.522616939260217","2.522616939260217","2.522616939260217"
"226.5","150","150","150","2.524394762824385","2.524394762824385","2.524394762824385"
"228","151","151","151","2.5257859471649646","2.5257859471649646","2.5257859471649646"
"229.5","152","152","152","2.527099055628471","2.527099055628471","2.527099055628471"
"231","153","153","153","2.5282678561834553","2.5282678561834553","2.5282678561834553"
"232.5","154","154","154","2.528946539705716","2.528946539705716","2.528946539705716"
"234","155","155","155","2.529033810147155","2.529033810147155","2.529033810147155"
"235.5","156","156","156","2.528946539705716","2.528946539705716","2.528946539705716"
"237","157","157","157","2.528911164008919","2.528911164008919","2.528911164008919"
"238.5","158","158","158","2.528937656821498","2.528937656821498","2.528937656821498"
"240","159","159","159","2.5287961540343082","2.5287961540343082","2.5287961540343082"
"241.5","160","160","160","2.5277272469667564","2.5277272469667564","2.5277272469667564"
"243","161","161","161","2.5250156296791926","2.5250156296791926","2.5250156296791926"
"244.5","162","162","162","2.5206095632670498","2.5206095632670498","2.5206095632670498"
"246","163","163","163","2.5148063905915152","2.5148063905915152","2.5148063905915152"
"247.5","164","164","164","2.5080850081999855","2.5080850081999855","2.5080850081999855"
"249","165","165","165","2.501178799480694","2.501178799480694","2.501178799480694"
"250.5","166","166","166","2.4944041197838565","2.4944041197838565","2.4944041197838565"
"252","167","167","167","2.4877737479955413","2.4877737479955413","2.4877737479955413"
"253.5","168","168","168","2.4812682041064984","2.4812682041064984","2.4812682041064984"
"255","169","169","169","2.4752697638182446","2.4752697638182446","2.4752697638182446"
"256.5","170","170","170","2.4708431265163338","2.4708431265163338","2.4708431265163338"
"258","171","171","171","2.470310309303335","2.470310309303335","2.470310309303335"
"259.5","172","172","172","2.4785660930634483","2.4785660930634483","2.4785660930634483"
"261","173","173","173","2.505648604483102","2.505648604483102","2.505648604483102"
"262.5","174","174","174","2.5708143781459216","2.5708143781459216","2.5708143781459216"
"264","175","175","175","2.7016968201331437","2.7016968201331437","2.7016968201331437"
"265.5","176","176","176","2.92237571531863","2.92237571531863","2.92237571531863"
"267","177","177","177","3.201096622704343","3.201096622704343","3.201096622704343"
"268.5","178","178","178","3.4200809129251755","3.4200809129251755","3.4200809129251755"
"270","179","179","179","3.4002886001671446","3.4002886001671446","3.4002886001671446"
"271.5","180","180","180","3.0725083024464444","3.0725083024464444","3.0725083024464444"
"273","181","181","181","2.929913076337613","2.929913076337613","2.929913076337613"
"274.5","182","182","182","3.129286451646548","3.129286451646548","3.129286451646548"
"276","183","183","183","3.6727491001002135","3.6727491001002135","3.6727491001002135"
"277.5","184","184","184","3.7048811415975473","3.7048811415975473","3.7048811415975473"
"279","185","185","185","2.616806991664704","2.616806991664704","2.616806991664704"
"280.5","186","186","186","1.8464603637991777","1.8464603637991777","1.8464603637991777"
"282","187","187","187","1.7839649098043122","1.7839649098043122","1.7839649098043122"
"283.5","188","188","188","1.9772357436555632","1.9772357436555632","1.9772357436555632"
"285","189","189","189","2.194105439912318","2.194105439912318","2.194105439912318"
"286.5","190","190","190","2.482097429140241","2.482097429140241","2.482097429140241"
"288","191","191","191","2.7314685078697054","2.7314685078697054","2.7314685078697054"
"289.5","192","192","192","2.733876860373269","2.733876860373269","2.733876860373269"
"291","193","193","193","2.5198671411545237","2.5198671411545237","2.5198671411545237"
"292.5","194","194","194","2.3574177337782842","2.3574177337782842","2.3574177337782842"
"294","195","195","195","2.392614370330787","2.392614370330787","2.392614370330787"
"295.5","196","196","196","2.480255087785438","2.480255087785438","2.480255087785438"
"297","197","197","197","2.4601934833795385","2.4601934833795385","2.4601934833795385"
"298.5","198","198","198","2.424965522972162","2.424965522972162","2.424965522972162"
"300","199","199","199","2.4236505444277676","2.4236505444277676","2.4236505444277676"
