"nusselt","time","episode"
"7.306780824696163","1.5","0"
"16.02075076557129","3","0"
"16.445298087160108","4.5","0"
"10.040828953310756","6","0"
"12.403323956699891","7.5","0"
"19.481307397555646","9","0"
"13.646271660491713","10.5","0"
"2.7560467082602305","12","0"
"9.923853056166811","13.5","0"
"21.046353158290056","15","0"
"17.78087713093629","16.5","0"
"5.4599025757385595","18","0"
"11.192776183492606","19.5","0"
"20.81457221623296","21","0"
"9.278372820071892","22.5","0"
"6.419660424262668","24","0"
"17.028259960769283","25.5","0"
"20.882881595868465","27","0"
"9.756707564000719","28.5","0"
"3.694822054421167","30","0"
"15.222358690468877","31.5","0"
"23.704640414130935","33","0"
"11.951372937298911","34.5","0"
"1.81498713621467","36","0"
"11.805914149830368","37.5","0"
"21.400527777663637","39","0"
"13.398038681822657","40.5","0"
"6.659252850028911","42","0"
"15.917966444765964","43.5","0"
"17.141681925025704","45","0"
"4.474451763814601","46.5","0"
"7.839524792860251","48","0"
"20.869384287059507","49.5","0"
"17.76133011045473","51","0"
"2.6973316227804065","52.5","0"
"6.981834011200893","54","0"
"21.149852785035034","55.5","0"
"19.158197938532812","57","0"
"4.063570837515031","58.5","0"
"8.528907515401494","60","0"
"18.813842802221842","61.5","0"
"13.619495218977391","63","0"
"6.967633863658203","64.5","0"
"12.04119292234835","66","0"
"16.514883797001655","67.5","0"
"6.7776071526273665","69","0"
"8.321838913078615","70.5","0"
"20.989085047897305","72","0"
"16.086452940768808","73.5","0"
"2.9505012253935328","75","0"
"8.011996898755593","76.5","0"
"21.624805020157734","78","0"
"17.896925000439573","79.5","0"
"1.1344663568813655","81","0"
"8.692687641169602","82.5","0"
"20.72850797696687","84","0"
"12.93386590461839","85.5","0"
"7.897258865074258","87","0"
"15.304808998418952","88.5","0"
"14.611358070745995","90","0"
"3.6938044187379604","91.5","0"
"11.862230856571363","93","0"
"23.06616363096148","94.5","0"
"12.586884863060554","96","0"
"2.0125734544350524","97.5","0"
"12.58347741984259","99","0"
"21.912908123358417","100.5","0"
"10.252616393074291","102","0"
"5.935147790200378","103.5","0"
"14.238343944826807","105","0"
"15.395978558509212","106.5","0"
"7.706916577893576","108","0"
"11.37175539167773","109.5","0"
"15.57761328155526","111","0"
"5.713322691270638","112.5","0"
"5.5434558418123565","114","0"
"18.978099798616384","115.5","0"
"20.788761983177427","117","0"
"2.83865402508486","118.5","0"
"7.682573579134733","120","0"
"20.02063249204467","121.5","0"
"14.38534476982756","123","0"
"3.358985136554922","124.5","0"
"12.076789132850582","126","0"
"18.262349714755064","127.5","0"
"8.967403302813494","129","0"
"5.995979573485279","130.5","0"
"18.500767885563732","132","0"
"16.843486618632916","133.5","0"
"6.487866949449335","135","0"
"8.993508073608885","136.5","0"
"17.451384462482498","138","0"
"14.65208375728387","139.5","0"
