"sim_time","hardy-dragon-107 - _step","hardy-dragon-107 - _step__MIN","hardy-dragon-107 - _step__MAX","hardy-dragon-107 - run/nusselt","hardy-dragon-107 - run/nusselt__MIN","hardy-dragon-107 - run/nusselt__MAX","radiant-durian-106 - _step","radiant-durian-106 - _step__MIN","radiant-durian-106 - _step__MAX","radiant-durian-106 - run/nusselt","radiant-durian-106 - run/nusselt__MIN","radiant-durian-106 - run/nusselt__MAX","peach-breeze-103 - _step","peach-breeze-103 - _step__MIN","peach-breeze-103 - _step__MAX","peach-breeze-103 - run/nusselt","peach-breeze-103 - run/nusselt__MIN","peach-breeze-103 - run/nusselt__MAX","super-sun-102 - _step","super-sun-102 - _step__MIN","super-sun-102 - _step__MAX","super-sun-102 - run/nusselt","super-sun-102 - run/nusselt__MIN","super-sun-102 - run/nusselt__MAX","effortless-morning-99 - _step","effortless-morning-99 - _step__MIN","effortless-morning-99 - _step__MAX","effortless-morning-99 - run/nusselt","effortless-morning-99 - run/nusselt__MIN","effortless-morning-99 - run/nusselt__MAX","whole-morning-98 - _step","whole-morning-98 - _step__MIN","whole-morning-98 - _step__MAX","whole-morning-98 - run/nusselt","whole-morning-98 - run/nusselt__MIN","whole-morning-98 - run/nusselt__MAX","expert-sea-95 - _step","expert-sea-95 - _step__MIN","expert-sea-95 - _step__MAX","expert-sea-95 - run/nusselt","expert-sea-95 - run/nusselt__MIN","expert-sea-95 - run/nusselt__MAX","vibrant-pyramid-94 - _step","vibrant-pyramid-94 - _step__MIN","vibrant-pyramid-94 - _step__MAX","vibrant-pyramid-94 - run/nusselt","vibrant-pyramid-94 - run/nusselt__MIN","vibrant-pyramid-94 - run/nusselt__MAX","sandy-bee-91 - _step","sandy-bee-91 - _step__MIN","sandy-bee-91 - _step__MAX","sandy-bee-91 - run/nusselt","sandy-bee-91 - run/nusselt__MIN","sandy-bee-91 - run/nusselt__MAX","neat-morning-90 - _step","neat-morning-90 - _step__MIN","neat-morning-90 - _step__MAX","neat-morning-90 - run/nusselt","neat-morning-90 - run/nusselt__MIN","neat-morning-90 - run/nusselt__MAX","happy-cloud-87 - _step","happy-cloud-87 - _step__MIN","happy-cloud-87 - _step__MAX","happy-cloud-87 - run/nusselt","happy-cloud-87 - run/nusselt__MIN","happy-cloud-87 - run/nusselt__MAX","comic-lake-86 - _step","comic-lake-86 - _step__MIN","comic-lake-86 - _step__MAX","comic-lake-86 - run/nusselt","comic-lake-86 - run/nusselt__MIN","comic-lake-86 - run/nusselt__MAX","apricot-river-83 - _step","apricot-river-83 - _step__MIN","apricot-river-83 - _step__MAX","apricot-river-83 - run/nusselt","apricot-river-83 - run/nusselt__MIN","apricot-river-83 - run/nusselt__MAX","sage-wildflower-82 - _step","sage-wildflower-82 - _step__MIN","sage-wildflower-82 - _step__MAX","sage-wildflower-82 - run/nusselt","sage-wildflower-82 - run/nusselt__MIN","sage-wildflower-82 - run/nusselt__MAX","icy-feather-79 - _step","icy-feather-79 - _step__MIN","icy-feather-79 - _step__MAX","icy-feather-79 - run/nusselt","icy-feather-79 - run/nusselt__MIN","icy-feather-79 - run/nusselt__MAX","pleasant-lake-78 - _step","pleasant-lake-78 - _step__MIN","pleasant-lake-78 - _step__MAX","pleasant-lake-78 - run/nusselt","pleasant-lake-78 - run/nusselt__MIN","pleasant-lake-78 - run/nusselt__MAX"
"11","31","31","31","4.196381157951659","4.196381157951659","4.196381157951659","31","31","31","4.196381157951659","4.196381157951659","4.196381157951659","31","31","31","11.195028149220944","11.195028149220944","11.195028149220944","31","31","31","12.526994208006114","12.526994208006114","12.526994208006114","31","31","31","9.95679034339723","9.95679034339723","9.95679034339723","31","31","31","10.344953339098181","10.344953339098181","10.344953339098181","31","31","31","16.983310689435793","16.983310689435793","16.983310689435793","31","31","31","14.937182281717245","14.937182281717245","14.937182281717245","31","31","31","10.069935473354247","10.069935473354247","10.069935473354247","31","31","31","10.04572205811578","10.04572205811578","10.04572205811578","31","31","31","13.389973761745253","13.389973761745253","13.389973761745253","31","31","31","9.95679034339723","9.95679034339723","9.95679034339723","31","31","31","14.937182281717245","14.937182281717245","14.937182281717245","31","31","31","11.195028149220944","11.195028149220944","11.195028149220944","31","31","31","10.344953339098181","10.344953339098181","10.344953339098181","31","31","31","7.168667430509856","7.168667430509856","7.168667430509856"
"12","34","34","34","1.123161258003931","1.123161258003931","1.123161258003931","34","34","34","1.123161258003931","1.123161258003931","1.123161258003931","34","34","34","16.604086261511107","16.604086261511107","16.604086261511107","34","34","34","17.322705695987576","17.322705695987576","17.322705695987576","34","34","34","2.8720134354186313","2.8720134354186313","2.8720134354186313","34","34","34","4.376951191203018","4.376951191203018","4.376951191203018","34","34","34","14.560087386550352","14.560087386550352","14.560087386550352","34","34","34","16.1787882160873","16.1787882160873","16.1787882160873","34","34","34","9.6390501161212","9.6390501161212","9.6390501161212","34","34","34","9.110656325151053","9.110656325151053","9.110656325151053","34","34","34","6.105186178686237","6.105186178686237","6.105186178686237","34","34","34","2.8720134354186313","2.8720134354186313","2.8720134354186313","34","34","34","16.1787882160873","16.1787882160873","16.1787882160873","34","34","34","16.604086261511107","16.604086261511107","16.604086261511107","34","34","34","4.376951191203018","4.376951191203018","4.376951191203018","34","34","34","12.740599870028689","12.740599870028689","12.740599870028689"
"13","37","37","37","8.196309327316836","8.196309327316836","8.196309327316836","37","37","37","8.196309327316836","8.196309327316836","8.196309327316836","37","37","37","15.9289555959194","15.9289555959194","15.9289555959194","37","37","37","17.90678875294579","17.90678875294579","17.90678875294579","37","37","37","5.28900851982961","5.28900851982961","5.28900851982961","37","37","37","5.296952306041261","5.296952306041261","5.296952306041261","37","37","37","7.047350173096832","7.047350173096832","7.047350173096832","37","37","37","12.417979484087084","12.417979484087084","12.417979484087084","37","37","37","10.107908316270608","10.107908316270608","10.107908316270608","37","37","37","8.817092364023692","8.817092364023692","8.817092364023692","37","37","37","5.95556544378921","5.95556544378921","5.95556544378921","37","37","37","5.28900851982961","5.28900851982961","5.28900851982961","37","37","37","12.417979484087084","12.417979484087084","12.417979484087084","37","37","37","15.9289555959194","15.9289555959194","15.9289555959194","37","37","37","5.296952306041261","5.296952306041261","5.296952306041261","37","37","37","15.98669913066383","15.98669913066383","15.98669913066383"
"14","40","40","40","18.88290831883735","18.88290831883735","18.88290831883735","40","40","40","18.88290831883735","18.88290831883735","18.88290831883735","40","40","40","11.31481590632368","11.31481590632368","11.31481590632368","40","40","40","11.413895370883566","11.413895370883566","11.413895370883566","40","40","40","11.405538452304588","11.405538452304588","11.405538452304588","40","40","40","11.997048880145854","11.997048880145854","11.997048880145854","40","40","40","4.043638844290995","4.043638844290995","4.043638844290995","40","40","40","5.379074505260742","5.379074505260742","5.379074505260742","40","40","40","10.494070830162705","10.494070830162705","10.494070830162705","40","40","40","9.037518917908196","9.037518917908196","9.037518917908196","40","40","40","11.403938468283176","11.403938468283176","11.403938468283176","40","40","40","11.405538452304588","11.405538452304588","11.405538452304588","40","40","40","5.379074505260742","5.379074505260742","5.379074505260742","40","40","40","11.31481590632368","11.31481590632368","11.31481590632368","40","40","40","11.997048880145854","11.997048880145854","11.997048880145854","40","40","40","14.649501562630993","14.649501562630993","14.649501562630993"
"15","43","43","43","22.064444516621055","22.064444516621055","22.064444516621055","43","43","43","22.064444516621055","22.064444516621055","22.064444516621055","43","43","43","6.30188826617463","6.30188826617463","6.30188826617463","43","43","43","7.366188943511455","7.366188943511455","7.366188943511455","43","43","43","15.89003889173166","15.89003889173166","15.89003889173166","43","43","43","18.846085666036462","18.846085666036462","18.846085666036462","43","43","43","9.552268853947103","9.552268853947103","9.552268853947103","43","43","43","3.8348002129648755","3.8348002129648755","3.8348002129648755","43","43","43","8.2655537028417","8.2655537028417","8.2655537028417","43","43","43","9.008027816113138","9.008027816113138","9.008027816113138","43","43","43","16.08040831388786","16.08040831388786","16.08040831388786","43","43","43","15.89003889173166","15.89003889173166","15.89003889173166","43","43","43","3.8348002129648755","3.8348002129648755","3.8348002129648755","43","43","43","6.30188826617463","6.30188826617463","6.30188826617463","43","43","43","18.846085666036462","18.846085666036462","18.846085666036462","43","43","43","9.870660525564158","9.870660525564158","9.870660525564158"
"16","46","46","46","16.60593988066357","16.60593988066357","16.60593988066357","46","46","46","16.60593988066357","16.60593988066357","16.60593988066357","46","46","46","7.188769269991919","7.188769269991919","7.188769269991919","46","46","46","6.885806489684319","6.885806489684319","6.885806489684319","46","46","46","15.925022139044868","15.925022139044868","15.925022139044868","46","46","46","16.835454870219912","16.835454870219912","16.835454870219912","46","46","46","17.332046399603154","17.332046399603154","17.332046399603154","46","46","46","11.019289083549735","11.019289083549735","11.019289083549735","46","46","46","7.802307783853977","7.802307783853977","7.802307783853977","46","46","46","9.568550566869352","9.568550566869352","9.568550566869352","46","46","46","16.781431073051394","16.781431073051394","16.781431073051394","46","46","46","15.925022139044868","15.925022139044868","15.925022139044868","46","46","46","11.019289083549735","11.019289083549735","11.019289083549735","46","46","46","7.188769269991919","7.188769269991919","7.188769269991919","46","46","46","16.835454870219912","16.835454870219912","16.835454870219912","46","46","46","5.526293913953846","5.526293913953846","5.526293913953846"
"17","49","49","49","7.482028654278502","7.482028654278502","7.482028654278502","49","49","49","7.482028654278502","7.482028654278502","7.482028654278502","49","49","49","13.382320793553902","13.382320793553902","13.382320793553902","49","49","49","8.873229373388845","8.873229373388845","8.873229373388845","49","49","49","10.859852042347448","10.859852042347448","10.859852042347448","49","49","49","10.166729476766664","10.166729476766664","10.166729476766664","49","49","49","18.10212072843851","18.10212072843851","18.10212072843851","49","49","49","18.95333972802379","18.95333972802379","18.95333972802379","49","49","49","8.835367601512333","8.835367601512333","8.835367601512333","49","49","49","10.840111814817881","10.840111814817881","10.840111814817881","49","49","49","12.558105608667999","12.558105608667999","12.558105608667999","49","49","49","10.859852042347448","10.859852042347448","10.859852042347448","49","49","49","18.95333972802379","18.95333972802379","18.95333972802379","49","49","49","13.382320793553902","13.382320793553902","13.382320793553902","49","49","49","10.166729476766664","10.166729476766664","10.166729476766664","49","49","49","7.513438547798486","7.513438547798486","7.513438547798486"
"18","52","52","52","2.3939583488291514","2.3939583488291514","2.3939583488291514","52","52","52","2.3939583488291514","2.3939583488291514","2.3939583488291514","52","52","52","16.62730791893224","16.62730791893224","16.62730791893224","52","52","52","10.90847601341024","10.90847601341024","10.90847601341024","52","52","52","6.653836354198112","6.653836354198112","6.653836354198112","52","52","52","0.6796688524403524","0.6796688524403524","0.6796688524403524","52","52","52","12.914206794517533","12.914206794517533","12.914206794517533","52","52","52","18.85282258484976","18.85282258484976","18.85282258484976","52","52","52","8.389078373005352","8.389078373005352","8.389078373005352","52","52","52","12.060948918430736","12.060948918430736","12.060948918430736","52","52","52","5.4345992505522815","5.4345992505522815","5.4345992505522815","52","52","52","6.653836354198112","6.653836354198112","6.653836354198112","52","52","52","18.85282258484976","18.85282258484976","18.85282258484976","52","52","52","16.62730791893224","16.62730791893224","16.62730791893224","52","52","52","0.6796688524403524","0.6796688524403524","0.6796688524403524","52","52","52","13.549828384133269","13.549828384133269","13.549828384133269"
"19","55","55","55","6.732695920660005","6.732695920660005","6.732695920660005","55","55","55","6.732695920660005","6.732695920660005","6.732695920660005","55","55","55","14.348232223131266","14.348232223131266","14.348232223131266","55","55","55","12.263452898020466","12.263452898020466","12.263452898020466","55","55","55","8.611930400381768","8.611930400381768","8.611930400381768","55","55","55","1.7861475228409298","1.7861475228409298","1.7861475228409298","55","55","55","7.252841472231222","7.252841472231222","7.252841472231222","55","55","55","12.223952668081447","12.223952668081447","12.223952668081447","55","55","55","8.188960590514872","8.188960590514872","8.188960590514872","55","55","55","11.525188498627404","11.525188498627404","11.525188498627404","55","55","55","6.076064428871899","6.076064428871899","6.076064428871899","55","55","55","8.611930400381768","8.611930400381768","8.611930400381768","55","55","55","12.223952668081447","12.223952668081447","12.223952668081447","55","55","55","14.348232223131266","14.348232223131266","14.348232223131266","55","55","55","1.7861475228409298","1.7861475228409298","1.7861475228409298","55","55","55","17.003068207792982","17.003068207792982","17.003068207792982"
"20","58","58","58","15.855654038781891","15.855654038781891","15.855654038781891","58","58","58","15.855654038781891","15.855654038781891","15.855654038781891","58","58","58","7.639329359089063","7.639329359089063","7.639329359089063","58","58","58","11.932241958012382","11.932241958012382","11.932241958012382","58","58","58","11.044708819090667","11.044708819090667","11.044708819090667","58","58","58","11.178570634794914","11.178570634794914","11.178570634794914","58","58","58","4.700497485334465","4.700497485334465","4.700497485334465","58","58","58","6.28416473339678","6.28416473339678","6.28416473339678","58","58","58","8.982890384704962","8.982890384704962","8.982890384704962","58","58","58","10.230237402055337","10.230237402055337","10.230237402055337","58","58","58","11.63973685616587","11.63973685616587","11.63973685616587","58","58","58","11.044708819090667","11.044708819090667","11.044708819090667","58","58","58","6.28416473339678","6.28416473339678","6.28416473339678","58","58","58","7.639329359089063","7.639329359089063","7.639329359089063","58","58","58","11.178570634794914","11.178570634794914","11.178570634794914","58","58","58","14.130493876784026","14.130493876784026","14.130493876784026"
